Event1 Event2 Station CoefMax LagSample LagTime
14 20 6 0.844089080061082 2 0.02
14 20 10 0.712997785115884 3 0.03
14 23 6 0.893366385342128 -1 -0.01
14 24 6 0.830516755194977 0 0
14 25 6 0.732113251427349 1 0.01
14 25 10 0.736171344354028 -1 -0.01
14 26 6 0.784758172996962 1 0.01
14 41 6 0.889988660590042 0 0
14 43 6 0.874189028241955 1 0.01
14 45 10 0.877883558339953 -1 -0.01
14 46 6 0.743825321960904 7 0.07
14 46 3 0.734432693860771 -12 -0.12
14 49 6 0.701670146300156 2 0.02
14 70 6 0.915669123298796 1 0.01
14 86 6 0.846565601054109 0 0
14 90 3 0.700822298615417 -10 -0.1
14 92 6 0.855043234211561 1 0.01
14 92 10 0.773196175607593 -2 -0.02
14 92 3 0.722413063073077 -14 -0.14
15 16 6 0.862196198581492 -1 -0.01
15 16 4 0.763045518705232 -7 -0.07
15 16 3 0.732353888412659 6 0.06
15 17 6 0.822494420225447 1 0.01
15 18 3 0.88516417082633 -1 -0.01
15 19 3 0.755270965094899 14 0.14
15 20 10 0.784247933294924 -2 -0.02
15 20 3 0.750690552692784 6 0.06
15 20 1 0.838109080161375 -5 -0.05
15 22 6 0.834613236389061 3 0.03
15 22 3 0.841569278821662 7 0.07
15 23 3 0.849718485857245 -1 -0.01
15 24 3 0.831976595428506 2 0.02
15 25 3 0.867318157166844 -1 -0.01
15 26 4 0.7465910163479 22 0.22
15 26 3 0.738573720037805 13 0.13
15 27 6 0.771648169246885 3 0.03
15 27 10 0.841556655693273 -1 -0.01
15 27 3 0.771663712558922 1 0.01
15 28 10 0.889735307191813 0 0
15 28 4 0.724790637579701 24 0.24
15 29 3 0.786298027295909 2 0.02
15 29 5 0.734558501917054 0 0
15 31 3 0.787824355702596 5 0.05
15 41 3 0.823158320739465 13 0.13
15 42 6 0.825972540027607 3 0.03
15 42 3 0.738537592700474 5 0.05
15 43 3 0.872061856459129 1 0.01
15 44 3 0.817029797951203 -1 -0.01
15 44 5 0.734749511610042 8 0.08
15 46 6 0.762165898415091 1 0.01
15 46 3 0.882537642361657 3 0.03
15 48 6 0.764243903003711 8 0.08
15 65 3 0.703282142994783 1 0.01
15 70 1 0.801068964419087 -3 -0.03
15 79 3 0.741985635979126 4 0.04
15 79 4 0.704119987663196 -4 -0.04
15 80 4 0.767493391556925 -2 -0.02
15 86 3 0.940271928172754 0 0
15 90 6 0.700898806917089 4 0.04
15 90 3 0.712787306630422 6 0.06
15 91 3 0.734948441751705 6 0.06
15 92 3 0.91895806576463 1 0.01
16 17 6 0.777274769119785 2 0.02
16 17 3 0.702163484382283 21 0.21
16 18 3 0.787907138371325 -7 -0.07
16 19 3 0.845978926905597 8 0.08
16 20 3 0.947570136443023 0 0
16 20 1 0.809629736923593 -10 -0.1
16 21 4 0.768812416672223 9 0.09
16 22 6 0.734788747416638 5 0.05
16 22 3 0.920091615157812 1 0.01
16 23 4 0.714688231746335 -1 -0.01
16 23 3 0.73921224377928 -7 -0.07
16 24 3 0.814857410966111 7 0.07
16 25 6 0.714794257617737 8 0.08
16 25 3 0.750423590639441 5 0.05
16 26 4 0.714239416524919 30 0.3
16 26 3 0.807010643204916 7 0.07
16 27 3 0.833077265247689 6 0.06
16 28 3 0.851744272446432 3 0.03
16 29 4 0.768084832520621 -6 -0.06
16 29 3 0.702041239154054 -4 -0.04
16 31 3 0.811283285084163 -1 -0.01
16 41 3 0.860363737979197 6 0.06
16 42 3 0.887279916154252 -1 -0.01
16 43 3 0.771189338479471 7 0.07
16 44 3 0.761242220412362 -8 -0.08
16 45 3 0.803096400199356 2 0.02
16 46 6 0.722544155422876 2 0.02
16 47 6 0.70788699146823 7 0.07
16 47 1 0.746542936408092 -1 -0.01
16 48 6 0.735075205294059 9 0.09
16 48 1 0.711495491116003 -7 -0.07
16 65 3 0.847283896036575 6 0.06
16 70 3 0.82008665988652 0 0
16 70 1 0.701982159352484 -9 -0.09
16 80 4 0.766983589586904 -6 -0.06
16 86 3 0.783797379668398 -6 -0.06
16 90 6 0.749650908990024 5 0.05
16 90 3 0.753973955097072 0 0
16 91 3 0.932369533318021 -1 -0.01
16 92 3 0.746358660842929 -5 -0.05
17 18 4 0.773269394067418 -1 -0.01
17 19 3 0.710049651975257 -13 -0.13
17 20 10 0.733989765891038 4 0.04
17 20 3 0.788112864008482 -21 -0.21
17 20 1 0.781237945606685 -7 -0.07
17 21 3 0.788793349520287 -4 -0.04
17 22 6 0.946365276436113 2 0.02
17 22 10 0.779328296473327 -1 -0.01
17 24 3 0.742159459329144 -14 -0.14
17 25 6 0.835431360748509 6 0.06
17 25 10 0.777849008162327 -1 -0.01
17 26 6 0.758447893620661 6 0.06
17 26 3 0.800881469055538 -14 -0.14
17 27 6 0.94995400457966 2 0.02
17 27 3 0.763389804677153 -15 -0.15
17 27 5 0.752645279130886 -3 -0.03
17 28 4 0.746373534416444 -1 -0.01
17 28 3 0.736173996486138 -18 -0.18
17 29 6 0.743596713083771 5 0.05
17 41 4 0.752748326269815 -12 -0.12
17 42 6 0.712034321804843 2 0.02
17 42 4 0.817545260369941 -2 -0.02
17 42 3 0.781719217683538 -22 -0.22
17 43 4 0.702547833480873 0 0
17 44 4 0.775421856735607 -2 -0.02
17 45 10 0.769720656897253 -1 -0.01
17 45 3 0.763545891084274 -19 -0.19
17 47 1 0.732196815456693 1 0.01
17 48 4 0.748530460755733 0 0
17 49 4 0.734028268086401 -1 -0.01
17 65 3 0.747632320018223 -14 -0.14
17 65 5 0.724860704061307 -2 -0.02
17 81 6 0.707010766520646 -1 -0.01
17 90 6 0.808832984762653 3 0.03
17 91 6 0.714586058775453 -2 -0.02
